,Headphone_Brand,price,Description
0,Beats MRJ72ZM/A Bluetooth Headset,"₹25,472","Ivory, On the Ear"
1,APPLE Airpods Pro with MagSafe Charging Case Bluetooth ...,"₹21,900","White, True Wireless"
2,Bose Quietcomfort 35 II Active noise cancellation enabl...,"₹21,990","Silver, On the Ear"
3,APPLE Airpods (3rd Generation) Bluetooth Headset,"₹18,500","White, True Wireless"
4,SONY WH-XB910N Active Noise Cancellation enabled Blueto...,"₹14,990","Blue, On the Ear"
5,Soundcore by Anker Liberty Air 2 Pro With Active Noise ...,"₹9,999","White, True Wireless"
6,Apple AirPods with Charging Case Bluetooth Headset with...,"₹12,499","White, True Wireless"
7,SAMSUNG Galaxy Buds 2 Bluetooth Headset,"₹11,999","Graphite, True Wireless"
8,Soundcore by Anker Liberty Air 2 Pro With Active Noise ...,"₹9,999","Pink, True Wireless"
9,Soundcore by Anker Life Q35 With Targeted Active Noise ...,"₹9,999","Pink, On the Ear"
10,Soundcore by Anker Space NC Active noise cancellation e...,"₹10,999","Black, Grey, On the Ear"
11,Soundcore by Anker Liberty 2 Pro with In-ear Studio Per...,"₹9,999","White, True Wireless"
12,Jabra Elite 4 Active with Active Noise Cancellation Blu...,"₹9,999","Black, True Wireless"
13,Soundcore by Anker Life Q35 With Targeted Active Noise ...,"₹9,999","Blue, On the Ear"
14,Jabra Elite 4 Active with Active Noise Cancellation Blu...,"₹9,999","Navy, True Wireless"
15,Soundcore by Anker Liberty Air 2 Pro With Active Noise ...,"₹9,999","Black, True Wireless"
16,Soundcore by Anker Liberty Air 2 Pro With Active Noise ...,"₹9,999","Blue, True Wireless"
17,Soundcore by Anker Liberty Air 2 with HearID Technology...,"₹6,999","White, True Wireless"
18,SAMSUNG Galaxy Buds Live Bluetooth Headset,"₹7,990","Mystic Black, True Wireless"
19,Soundcore by Anker Liberty 2 Pro with In-ear Studio Per...,"₹9,999","Black, True Wireless"
20,"JBL Tune 760NC Active Noise Cancelling, 50 Hr Playtime,...","₹6,699","Blue, On the Ear"
21,Soundcore by Anker Liberty Air 2 with HearID Technology...,"₹6,999","Black, True Wireless"
22,Nothing ear (1) Bluetooth Headset,"₹6,999","Black, True Wireless"
23,Google Pixel Buds A-Series with Google Assistant Blueto...,"₹7,999","Clearly White, True Wireless"
24,Soundcore Life Note 3 Active Noise cancellation Bluetoo...,"₹7,999","Black, On the Ear"
25,Soundcore by Anker Life Q20 With Hybrid Active Noise Ca...,"₹7,999","Silver, On the Ear"
26,Soundcore by Anker Life Q20 With Hybrid Active Noise Ca...,"₹7,999","Blue, On the Ear"
27,Nothing ear (1) Bluetooth Headset,"₹6,999","White, True Wireless"
28,SONY WF-C500/WZ IN IPX4/20Hrs Battery Life Bluetooth He...,"₹5,990","Black, True Wireless"
29,"JBL Tune 230NC with Active Noise Cancellation,40Hr Play...","₹5,999","Black, True Wireless"
30,Soundcore by Anker Life Q20 With Hybrid Active Noise Ca...,"₹7,999","Black, On the Ear"
31,"JBL Tune 230NC with Active Noise Cancellation,40Hr Play...","₹5,999","Blue, True Wireless"
32,Soundcore by Anker Spirit Dot 2 Bluetooth Headset,"₹4,999","Black, Grey, True Wireless"
33,OnePlus Buds Z2 with Active Noise cancellation Bluetoot...,"₹4,999","Pearl White, In the Ear"
34,Soundcore by Anker Liberty Air X with Touch Control Tru...,"₹4,999","White, True Wireless"
35,OnePlus Buds Z2 with Active Noise cancellation Bluetoot...,"₹4,999","Obsidian Black, In the Ear"
36,Soundcore by Anker Liberty Air X with Touch Control Tru...,"₹4,999","Black, True Wireless"
37,Soundcore by Anker Life Dot 2 ANC With Multi Mode Hybri...,"₹7,999","Black, True Wireless"
38,Jabra Talk 45 Bluetooth Headset,"₹4,999","Silver, In the Ear"
39,VISHMART Airpods Pro-USA Bluetooth Truly Wireless In Ea...,"₹4,990","White, True Wireless"
